from,to,weight
S1,S2,0
S1,S3,0.2
S1,S4,0
S1,S5,0
S1,S6,0
S1,S7,0
S1,S8,0
S1,S10,0
S1,S12,0
S1,S13,0
S1,S15,0
S1,S16,0
S1,S17,0
S1,S18,0
S1,S20,0
S1,S21,0
S1,S22,0
S1,S23,0
S1,S24,0
S1,S25,0
S1,S26,0
S1,S27,0
S1,S28,0
S1,S29,0
S1,S30,0
S1,S31,0
S1,S32,0
S1,S33,0
S1,S34,0
S1,S37,0
S1,S42,0
S1,S45,0
S1,S46,0
S1,S47,0
S1,S49,0
S1,S50,0
S1,S51,0
S1,S53,0
S1,S54,0
S1,S55,0
S1,S56,0
S1,S57,0
S1,S59,0
S1,S60,0.5
S1,S62,0
S1,S63,0
S1,S65,0
S1,S66,0
S1,S67,0
S1,S68,0
S1,S69,0
S1,S70,0
S1,S71,0
S1,S73,0
S1,S77,0
S1,S79,0
S1,S80,0
S1,S81,0
S1,S82,0
S1,S83,0
S1,S84,0
S1,S86,0
S1,S87,0
S1,S88,0
S1,S91,0
S1,S94,0.125
S1,S95,0
S1,S97,0.25
S1,S98,0.33333333
S1,S100,0
S1,S103,0.5
S1,S106,0
S1,S107,0
S1,S108,0
S1,S110,0
S1,S111,0
S1,S114,0
S1,S117,0
S1,S118,0
S1,S119,0
S1,S121,0.16666667
S1,S122,0
S1,S123,0.5
S1,S126,0
S1,S129,0
S1,S130,0
S1,S131,0
S1,S132,0
S1,S133,0
S1,S134,0
S1,S135,0
S1,S136,0
S1,S137,0
S1,S138,0
S1,S139,0
S1,S140,0
S1,S141,0
S1,S142,0
S1,S143,0
S1,S145,0
S1,S146,0
S1,S147,0
S1,S148,0
S1,S149,0
S1,S151,0
S1,S152,0
S1,S153,0
S1,S154,0
S1,S155,0
S1,S156,0
S1,S158,0
S1,S160,0
S1,S163,0
S1,S165,0
S1,S166,0
S1,S167,0
S1,S169,0
S1,S170,0
S1,S172,0
S1,S174,0
S1,S178,0
S1,S180,0
S1,S181,0
S1,S182,0
S1,S183,0
S1,S184,0
S1,S186,0
S1,S187,0
S1,S188,0
S1,S189,0
S1,S190,0
S1,S193,0
S1,S194,0.07692308
S1,S195,0
S1,S197,0
S1,S198,0
S1,S201,0
S1,S202,0
S1,S203,0
S1,S204,0
S1,S206,0
S1,S208,0
S1,S209,0
S1,S210,0
S1,S212,0
S1,S214,0
S1,S216,0
S1,S218,0
S1,S220,0
S1,S221,0
S1,S222,0
S1,S223,0
S1,S224,0
S1,S225,0
S1,S227,0
S1,S229,0
S1,S230,0
S1,S231,0
S1,S232,0
S1,S234,0
S1,S235,0
S1,S239,0
S1,S242,0
S1,S243,0
S1,S244,0
S1,S245,0
S1,S246,0
S1,S247,0
S1,S253,0
S1,S254,0
S1,S255,0
S1,S256,0
S1,S257,0
S1,S261,0
S1,S262,0
S1,S264,0
S1,S265,0
S1,S266,0
S1,S267,0.33333333
S1,S268,0
S1,S269,0
S1,S270,0
S1,S271,0
S1,S274,0
S1,S275,0
S1,S276,0.33333333
S1,S277,0.2
S1,S278,0
S1,S280,0
S1,S281,0
S1,S282,0
S1,S284,0
