lab_miseq_sample,lab_miseq_id,lab_mesa_id,mesa_id_meta_data,person_meta_data,raw_reads,filtered_reads,merged_reads,total_tabled_haplotype_reads,no_chimeras_haplotype_reads
S1_AMA_1.fastq.gz,BF1,9052_9,MPS9052,9,8037,6423,6244,6244,6068
S2_AMA_1.fastq.gz,BF2,9325_1,MPS9325,1,3505,2929,2859,2859,2859
S3_AMA_1.fastq.gz,BF3,9278_7,MPS9278,7,18475,12335,11823,11823,10677
S4_AMA_1.fastq.gz,BF4,9251_4,MPS9251,4,2614,2071,2019,2019,2019
S5_AMA_1.fastq.gz,BF5,9246_5,MPS9246,5,10979,8564,8329,8329,8329
S6_AMA_1.fastq.gz,BF6,9246_6,MPS9246,6,25557,21155,20280,20280,17513
S7_AMA_1.fastq.gz,BF7,9238_3,MPS9238,3,9093,7295,7087,7087,6614
S8_AMA_1.fastq.gz,BF8,9251_1,MPS9251,1,17387,14323,13974,13974,13974
S9_AMA_1.fastq.gz,BF9,9251_7,MPS9251,7,23,11,Removed,Removed,Removed
S10_AMA_1.fastq.gz,BF10,9294_5,MPS9294,5,10627,8747,8557,8557,8557
S11_AMA_1.fastq.gz,BF11,9060_1,MPS9060,1,9,7,Removed,Removed,Removed
S12_AMA_1.fastq.gz,BF12,9312_5,MPS9312,5,38298,30095,29400,29400,29400
S13_AMA_1.fastq.gz,BF13,330_2,MPS0330,2,35024,29211,28530,28530,28530
S14_AMA_1.fastq.gz,BF14,339_3,MPS0339,3,18,12,Removed,Removed,Removed
S15_AMA_1.fastq.gz,BF15,9269_3,MPS9269,3,4212,3488,3394,3394,3363
S16_AMA_1.fastq.gz,BF16,336_2,MPS0336,2,33126,25728,25059,25059,25059
S17_AMA_1.fastq.gz,BF17,9250_5,MPS9250,5,24817,12155,11491,11491,10508
S18_AMA_1.fastq.gz,BF18,9176_3,MPS9176,3,41967,32954,31871,31871,30831
S19_AMA_1.fastq.gz,BF19,9136_7,MPS9136,7,9,8,Removed,Removed,Removed
S20_AMA_1.fastq.gz,BF20,9136_8,MPS9136,8,34416,29026,28232,28232,28232
S21_AMA_1.fastq.gz,BF21,9404_7,MPS9404,7,32477,26557,25910,25910,25459
S22_AMA_1.fastq.gz,BF22,330_4,MPS0330,4,6585,5065,4894,4894,4894
S23_AMA_1.fastq.gz,BF23,217_3,MPS0217,3,22189,15739,14981,14981,13238
S24_AMA_1.fastq.gz,BF24,328_4,MPS0328,4,23874,16616,16153,16153,16153
S25_AMA_1.fastq.gz,BF25,9320_6,MPS9320,6,57247,48990,47474,47474,47039
S26_AMA_1.fastq.gz,BF26,9300_5,MPS9300,5,36841,30841,30171,30171,30171
S27_AMA_1.fastq.gz,BF27,9138_2,MPS9138,2,40835,34812,33947,33947,33947
S28_AMA_1.fastq.gz,BF28,9407_5,MPS9407,5,41794,34872,34051,34051,34051
S29_AMA_1.fastq.gz,BF29,9174_1,MPS9174,1,13239,10749,10518,10518,10518
S30_AMA_1.fastq.gz,BF30,9305_1,MPS9305,1,63273,51892,50724,50724,50724
S31_AMA_1.fastq.gz,BF31,9305_4,MPS9305,4,35725,29601,28778,28778,26676
S32_AMA_1.fastq.gz,BF32,9305_5,MPS9305,5,47962,40174,39263,39263,39263
S33_AMA_1.fastq.gz,BF33,9305_6,MPS9305,6,47624,39484,38575,38575,38575
S34_AMA_1.fastq.gz,BF34,206_4,MPS0206,4,7542,6426,6290,6290,6290
S35_AMA_1.fastq.gz,BF35,9186_6,MPS9186,6,22070,18440,18037,18037,0
S36_AMA_1.fastq.gz,BF36,9172_5,MPS9172,5,21,14,Removed,Removed,Removed
S37_AMA_1.fastq.gz,BF37,175_6,MPS0175,6,1176,871,867,867,867
S38_AMA_1.fastq.gz,BF38,9133_4,MPS9133,4,7,3,Removed,Removed,Removed
S39_AMA_1.fastq.gz,BF39,9303_4,MPS9303,4,35,28,Removed,Removed,Removed
S40_AMA_1.fastq.gz,BF40,9144_7,MPS9144,7,10,6,Removed,Removed,Removed
S41_AMA_1.fastq.gz,BF41,9412_14,MPS9412,14,14,7,Removed,Removed,Removed
S42_AMA_1.fastq.gz,BF42,9133_5,MPS9133,5,40283,33857,33128,33128,33128
S43_AMA_1.fastq.gz,BF43,9146_11,MPS9146,11,2,0,Removed,Removed,Removed
S44_AMA_1.fastq.gz,BF44,9423_6,MPS9423,6,9,6,Removed,Removed,Removed
S45_AMA_1.fastq.gz,BF45,9422_8,MPS9422,8,36434,30375,29665,29665,29665
S46_AMA_1.fastq.gz,BF46,9404_5,MPS9404,5,21197,17528,16965,16965,14831
S47_AMA_1.fastq.gz,BF47,9404_6,MPS9404,6,36365,27962,27166,27166,27097
S48_AMA_1.fastq.gz,BF48,9433_5,MPS9433,5,20,9,Removed,Removed,Removed
S49_AMA_1.fastq.gz,BF49,165_5,MPS0165,5,39666,33636,32419,32419,26788
S50_AMA_1.fastq.gz,BF50,429_7,MPS0429,7,52264,44120,42338,42338,37401
S51_AMA_1.fastq.gz,BF51,433_3,MPS0433,3,17108,14238,13912,13912,13912
