MiSeq ID,MESA ID,Sample,reads.in,reads.out,merged,tabled,nonchim
BF1,9052_9,S1_AMA_1.fastq.gz,8037,6423,6244,6244,6068
BF2,9325_1,S2_AMA_1.fastq.gz,3505,2929,2859,2859,2859
BF3,9278_7,S3_AMA_1.fastq.gz,18475,12335,11823,11823,10677
BF4,9251_4,S4_AMA_1.fastq.gz,2614,2071,2019,2019,2019
BF5,9246_5,S5_AMA_1.fastq.gz,10979,8564,8329,8329,8329
BF6,9246_6,S6_AMA_1.fastq.gz,25557,21155,20280,20280,17513
BF7,9238_3,S7_AMA_1.fastq.gz,9093,7295,7087,7087,6614
BF8,9251_1,S8_AMA_1.fastq.gz,17387,14323,13974,13974,13974
BF9,9251_7,S9_AMA_1.fastq.gz,23,11,Removed,Removed,Removed
BF10,9294_5,S10_AMA_1.fastq.gz,10627,8747,8557,8557,8557
BF11,9060_1,S11_AMA_1.fastq.gz,9,7,Removed,Removed,Removed
BF12,9312_5,S12_AMA_1.fastq.gz,38298,30095,29400,29400,29400
BF13,330_2,S13_AMA_1.fastq.gz,35024,29211,28530,28530,28530
BF14,339_3,S14_AMA_1.fastq.gz,18,12,Removed,Removed,Removed
BF15,9269_3,S15_AMA_1.fastq.gz,4212,3488,3394,3394,3363
BF16,336_2,S16_AMA_1.fastq.gz,33126,25728,25059,25059,25059
BF17,9250_5,S17_AMA_1.fastq.gz,24817,12155,11491,11491,10508
BF18,9176_3,S18_AMA_1.fastq.gz,41967,32954,31871,31871,30831
BF19,9136_7,S19_AMA_1.fastq.gz,9,8,Removed,Removed,Removed
BF20,9136_8,S20_AMA_1.fastq.gz,34416,29026,28232,28232,28232
BF21,9404_7,S21_AMA_1.fastq.gz,32477,26557,25910,25910,25459
BF22,330_4,S22_AMA_1.fastq.gz,6585,5065,4894,4894,4894
BF23,217_3,S23_AMA_1.fastq.gz,22189,15739,14981,14981,13238
BF24,328_4,S24_AMA_1.fastq.gz,23874,16616,16153,16153,16153
BF25,9320_6,S25_AMA_1.fastq.gz,57247,48990,47474,47474,47039
BF26,9300_5,S26_AMA_1.fastq.gz,36841,30841,30171,30171,30171
BF27,9138_2,S27_AMA_1.fastq.gz,40835,34812,33947,33947,33947
BF28,9407-5,S28_AMA_1.fastq.gz,41794,34872,34051,34051,34051
BF29,9174_1,S29_AMA_1.fastq.gz,13239,10749,10518,10518,10518
BF30,9305_1,S30_AMA_1.fastq.gz,63273,51892,50724,50724,50724
BF31,9305_4,S31_AMA_1.fastq.gz,35725,29601,28778,28778,26676
BF32,9305_5,S32_AMA_1.fastq.gz,47962,40174,39263,39263,39263
BF33,9305_6,S33_AMA_1.fastq.gz,47624,39484,38575,38575,38575
BF34,206_4,S34_AMA_1.fastq.gz,7542,6426,6290,6290,6290
BF35,9186_6,S35_AMA_1.fastq.gz,22070,18440,18037,18037,0
BF36,9172_5,S36_AMA_1.fastq.gz,21,14,Removed,Removed,Removed
BF37,175_6,S37_AMA_1.fastq.gz,1176,871,867,867,867
BF38,9133_4,S38_AMA_1.fastq.gz,7,3,Removed,Removed,Removed
BF39,9303_4,S39_AMA_1.fastq.gz,35,28,Removed,Removed,Removed
BF40,9144_7,S40_AMA_1.fastq.gz,10,6,Removed,Removed,Removed
BF41,9412_14,S41_AMA_1.fastq.gz,14,7,Removed,Removed,Removed
BF42,9133_5,S42_AMA_1.fastq.gz,40283,33857,33128,33128,33128
BF43,9146_11,S43_AMA_1.fastq.gz,2,0,Removed,Removed,Removed
BF44,9423_6,S44_AMA_1.fastq.gz,9,6,Removed,Removed,Removed
BF45,9422_8,S45_AMA_1.fastq.gz,36434,30375,29665,29665,29665
BF46,9404_5,S46_AMA_1.fastq.gz,21197,17528,16965,16965,14831
BF47,9404_6,S47_AMA_1.fastq.gz,36365,27962,27166,27166,27097
BF48,9433_5,S48_AMA_1.fastq.gz,20,9,Removed,Removed,Removed
BF49,165_5,S49_AMA_1.fastq.gz,39666,33636,32419,32419,26788
BF50,429_7,S50_AMA_1.fastq.gz,52264,44120,42338,42338,37401
BF51,433_3,S51_AMA_1.fastq.gz,17108,14238,13912,13912,13912
BF52,351_3,S52_AMA_1.fastq.gz,17,9,Removed,Removed,Removed
BF53,432_5,S53_AMA_1.fastq.gz,15973,12895,12579,12579,12579
BF54,432_8,S54_AMA_1.fastq.gz,32248,22633,21700,21700,19756
BF55,9320_2,S55_AMA_1.fastq.gz,24974,20584,19868,19868,16736
BF56,406_2,S56_AMA_1.fastq.gz,48685,40772,38319,38319,19246
BF57,404_2,S57_AMA_1.fastq.gz,45277,38517,37455,37455,36098
