haplotype_ID,haplotypes_across_samples
1,53
2,33
3,47
4,26
5,35
6,28
7,31
8,19
9,20
10,23
11,15
12,22
13,35
14,19
15,9
16,14
17,9
18,13
19,12
20,7
21,10
22,8
23,9
24,19
25,17
26,14
27,8
28,7
29,4
30,10
31,7
32,2
33,13
34,3
35,2
36,6
37,4
38,5
39,4
40,4
41,6
42,5
43,3
44,7
45,15
46,3
47,4
48,6
49,7
50,4
51,13
52,5
53,8
54,2
55,2
56,1
57,1
58,2
59,2
60,1
61,1
62,1
63,8
64,1
65,1
66,2
67,1
68,2
69,1
70,1
71,1
72,1
73,6
74,4
75,2
76,1
77,2
78,1
79,1
80,1
81,3
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,2
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
