Haplotype.ID,Haplotypes.Across.Samples
1,55
2,33
3,47
4,26
5,35
6,28
7,31
8,19
9,20
10,23
11,15
12,22
13,35
14,19
15,9
16,14
17,9
18,13
19,12
20,7
21,10
22,8
23,9
24,19
25,17
26,14
27,8
28,7
29,4
30,10
31,7
32,2
33,13
34,3
35,1
36,2
37,6
38,4
39,5
40,4
41,4
42,6
43,5
44,3
45,7
46,15
47,3
48,4
49,6
50,7
51,4
52,13
53,5
54,8
55,2
56,2
57,1
58,1
59,2
60,2
61,1
62,1
63,1
64,8
65,1
66,1
67,2
68,1
69,2
70,1
71,1
72,1
73,1
74,6
75,5
76,2
77,1
78,2
79,1
80,1
81,1
82,3
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,2
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
