Sample,reads.in,reads.out,merged,tabled,nonchim
S1_AMA_1.fastq.gz,8037,6423,6244,6244,6068
S10_AMA_1.fastq.gz,10627,8747,8557,8557,8557
S100_AMA_1.fastq.gz,396,206,206,206,206
S101_AMA_1.fastq.gz,7,6,Removed,Removed,Removed
S102_AMA_1.fastq.gz,7,0,Removed,Removed,Removed
S103_AMA_1.fastq.gz,24142,19081,18666,18666,18666
S104_AMA_1.fastq.gz,10,6,Removed,Removed,Removed
S105_AMA_1.fastq.gz,15,9,Removed,Removed,Removed
S106_AMA_1.fastq.gz,21304,17042,16662,16662,16356
S107_AMA_1.fastq.gz,6246,5071,4946,4946,4946
S108_AMA_1.fastq.gz,18600,15094,14612,14612,14427
S109_AMA_1.fastq.gz,8,7,Removed,Removed,Removed
S11_AMA_1.fastq.gz,9,7,Removed,Removed,Removed
S110_AMA_1.fastq.gz,2542,2051,1998,1998,1998
S111_AMA_1.fastq.gz,16963,14051,13427,13427,4915
S112_AMA_1.fastq.gz,5,2,Removed,Removed,Removed
S113_AMA_1.fastq.gz,64,52,49,49,49
S114_AMA_1.fastq.gz,103,78,77,77,77
S115_AMA_1.fastq.gz,62,39,Removed,Removed,Removed
S116_AMA_1.fastq.gz,59,50,Removed,Removed,Removed
S117_AMA_1.fastq.gz,79,66,63,63,63
S118_AMA_1.fastq.gz,13584,11481,11142,11142,10712
S119_AMA_1.fastq.gz,120,88,83,83,83
S12_AMA_1.fastq.gz,38298,30095,29400,29400,29400
S120_AMA_1.fastq.gz,55,46,Removed,Removed,Removed
S121_AMA_1.fastq.gz,19342,16340,15498,15498,11503
S122_AMA_1.fastq.gz,19716,17022,16368,16368,11833
S123_AMA_1.fastq.gz,11977,10213,9983,9983,9983
S124_AMA_1.fastq.gz,37,33,Removed,Removed,Removed
S125_AMA_1.fastq.gz,30,13,Removed,Removed,Removed
S126_AMA_1.fastq.gz,16230,13272,12837,12837,11939
S127_AMA_1.fastq.gz,6,4,Removed,Removed,Removed
