,reads.in,reads.out
S1_AMA_1.fastq.gz,8037,6423
S10_AMA_1.fastq.gz,10627,8747
S100_AMA_1.fastq.gz,396,206
S101_AMA_1.fastq.gz,7,6
S102_AMA_1.fastq.gz,7,0
S103_AMA_1.fastq.gz,24142,19081
S104_AMA_1.fastq.gz,10,6
S105_AMA_1.fastq.gz,15,9
S106_AMA_1.fastq.gz,21304,17042
S107_AMA_1.fastq.gz,6246,5071
S108_AMA_1.fastq.gz,18600,15094
S109_AMA_1.fastq.gz,8,7
S11_AMA_1.fastq.gz,9,7
S110_AMA_1.fastq.gz,2542,2051
S111_AMA_1.fastq.gz,16963,14051
S112_AMA_1.fastq.gz,5,2
S113_AMA_1.fastq.gz,64,52
S114_AMA_1.fastq.gz,103,78
S115_AMA_1.fastq.gz,62,39
S116_AMA_1.fastq.gz,59,50
S117_AMA_1.fastq.gz,79,66
S118_AMA_1.fastq.gz,13584,11481
S119_AMA_1.fastq.gz,120,88
S12_AMA_1.fastq.gz,38298,30095
S120_AMA_1.fastq.gz,55,46
S121_AMA_1.fastq.gz,19342,16340
S122_AMA_1.fastq.gz,19716,17022
S123_AMA_1.fastq.gz,11977,10213
S124_AMA_1.fastq.gz,37,33
S125_AMA_1.fastq.gz,30,13
S126_AMA_1.fastq.gz,16230,13272
S127_AMA_1.fastq.gz,6,4
S128_AMA_1.fastq.gz,15,13
S129_AMA_1.fastq.gz,34082,28454
S13_AMA_1.fastq.gz,35024,29211
S130_AMA_1.fastq.gz,6882,4768
S131_AMA_1.fastq.gz,22924,18335
S132_AMA_1.fastq.gz,4268,3411
S133_AMA_1.fastq.gz,17131,14131
S134_AMA_1.fastq.gz,33069,27975
S135_AMA_1.fastq.gz,25408,21214
S136_AMA_1.fastq.gz,30079,24758
S137_AMA_1.fastq.gz,6302,4874
S138_AMA_1.fastq.gz,20497,16550
S139_AMA_1.fastq.gz,35398,28853
S14_AMA_1.fastq.gz,18,12
S140_AMA_1.fastq.gz,18564,15284
S141_AMA_1.fastq.gz,17901,13741
S142_AMA_1.fastq.gz,17928,5349
S143_AMA_1.fastq.gz,27600,7302
