sample_1,sample_2,haplotypes_shared,total_haplotypes,prop_haplotype_sharing
S1,S2,0,3,0
S1,S3,0,3,0
S1,S4,0,4,0
S1,S5,0,3,0
S1,S6,0,10,0
S1,S7,0,8,0
S1,S8,0,3,0
S1,S10,0,3,0
S1,S12,0,4,0
S1,S13,1,2,0.5
S1,S15,0,3,0
S1,S16,0,3,0
S1,S17,0,5,0
S1,S18,0,5,0
S1,S19,0,3,0
S1,S20,0,3,0
S1,S21,0,7,0
S1,S22,1,2,0.5
S1,S23,0,5,0
S1,S24,0,3,0
S1,S25,0,3,0
S1,S26,0,3,0
S1,S27,0,5,0
S1,S28,0,4,0
S1,S30,0,3,0
S1,S31,0,6,0
S1,S32,0,3,0
S1,S33,0,3,0
S1,S34,0,3,0
S1,S35,0,3,0
S1,S39,0,4,0
S1,S42,0,3,0
S1,S43,0,4,0
S1,S45,0,3,0
S1,S46,0,5,0
S1,S47,0,8,0
S1,S49,0,5,0
S1,S50,1,4,0.25
S1,S51,0,3,0
S1,S52,0,3,0
S1,S53,0,5,0
S1,S54,1,4,0.25
S1,S55,0,5,0
S1,S56,0,4,0
S1,S57,0,3,0
S1,S59,1,12,0.083333333
S1,S60,0,4,0
S1,S62,1,6,0.166666667
S1,S63,1,4,0.25
S1,S65,0,4,0
S1,S66,0,3,0
S1,S67,0,4,0
S1,S68,0,4,0
S1,S69,0,7,0
S1,S70,0,5,0
S1,S71,0,3,0
S1,S73,0,3,0
S1,S75,0,3,0
S1,S77,0,11,0
S1,S79,0,3,0
S1,S80,0,4,0
S1,S81,0,3,0
S1,S82,0,4,0
S1,S83,0,5,0
S1,S84,0,5,0
S1,S85,0,3,0
S1,S86,0,3,0
S1,S87,0,3,0
S1,S88,0,3,0
S1,S89,0,4,0
S1,S91,0,3,0
S1,S94,0,8,0
S1,S95,0,4,0
S1,S97,0,3,0
S1,S98,0,4,0
S1,S101,0,3,0
S1,S103,0,3,0
S1,S106,0,6,0
S1,S107,0,3,0
S1,S108,0,6,0
S1,S111,0,8,0
S1,S113,0,3,0
S1,S118,0,7,0
S1,S119,0,3,0
S1,S121,0,9,0
S1,S122,0,6,0
S1,S123,0,4,0
S1,S126,0,6,0
S1,S129,0,3,0
S1,S130,0,3,0
S1,S131,1,5,0.2
S1,S133,0,6,0
S1,S134,1,7,0.142857143
S1,S135,1,10,0.1
S1,S136,1,4,0.25
S1,S137,0,3,0
S1,S138,0,3,0
S1,S139,0,4,0
S1,S140,0,5,0
S1,S141,0,3,0
S1,S142,0,4,0
S1,S143,0,3,0
S1,S145,0,3,0
S1,S146,0,3,0
S1,S147,0,5,0
S1,S148,1,8,0.125
S1,S149,0,3,0
S1,S151,0,3,0
S1,S152,0,4,0
S1,S153,0,3,0
S1,S154,0,5,0
S1,S155,0,3,0
S1,S156,0,3,0
S1,S158,0,3,0
S1,S160,0,7,0
S1,S165,0,3,0
S1,S166,0,6,0
S1,S167,0,3,0
S1,S169,0,3,0
S1,S170,0,4,0
S1,S171,1,2,0.5
S1,S172,0,3,0
S1,S174,1,2,0.5
S1,S178,0,6,0
S1,S184,0,10,0
S1,S186,0,3,0
S1,S187,0,11,0
S1,S188,0,13,0
S1,S189,0,3,0
S1,S190,0,6,0
S1,S194,0,16,0
S1,S195,0,3,0
S1,S198,0,3,0
S1,S199,0,3,0
S1,S201,0,5,0
S1,S202,0,5,0
S1,S203,0,7,0
S1,S204,0,3,0
S1,S206,0,3,0
S1,S208,0,5,0
S1,S210,0,3,0
S1,S212,0,3,0
S1,S214,0,6,0
S1,S216,0,5,0
S1,S218,0,3,0
S1,S220,0,3,0
S1,S221,0,3,0
S1,S222,0,3,0
S1,S223,0,3,0
S1,S224,0,3,0
S1,S225,0,4,0
S1,S226,0,3,0
S1,S227,0,3,0
S1,S228,0,3,0
S1,S230,0,4,0
S1,S231,0,5,0
S1,S232,0,3,0
S1,S233,0,3,0
S1,S234,0,6,0
S1,S235,0,11,0
S1,S237,0,3,0
S1,S238,0,3,0
S1,S239,0,4,0
S1,S242,0,5,0
S1,S243,0,3,0
S1,S244,0,3,0
S1,S245,0,4,0
S1,S247,0,3,0
S1,S254,0,5,0
S1,S255,0,6,0
S1,S256,0,4,0
S1,S257,0,3,0
S1,S261,0,6,0
S1,S262,0,4,0
S1,S264,0,4,0
S1,S265,0,14,0
S1,S266,0,7,0
S1,S267,0,4,0
S1,S268,0,4,0
S1,S269,1,8,0.125
S1,S270,0,5,0
S1,S271,0,6,0
S1,S272,0,3,0
S1,S274,0,4,0
S1,S275,0,3,0
