from,to,weight
S1,S2,3
S1,S3,3
S1,S4,4
S1,S5,3
S1,S6,10
S1,S7,8
S1,S8,3
S1,S10,3
S1,S12,4
S1,S13,2
S1,S15,3
S1,S16,3
S1,S17,5
S1,S18,5
S1,S19,3
S1,S20,3
S1,S21,7
S1,S22,2
S1,S23,5
S1,S24,3
S1,S25,3
S1,S26,3
S1,S27,5
S1,S28,4
S1,S30,3
S1,S31,6
S1,S32,3
S1,S33,3
S1,S34,3
S1,S35,3
S1,S39,4
S1,S42,3
S1,S43,4
S1,S45,3
S1,S46,5
S1,S47,8
S1,S49,5
S1,S50,4
S1,S51,3
S1,S52,3
S1,S53,5
S1,S54,4
S1,S55,5
S1,S56,4
S1,S57,3
S1,S59,12
S1,S60,4
S1,S62,6
S1,S63,4
S1,S65,4
S1,S66,3
S1,S67,4
S1,S68,4
S1,S69,7
S1,S70,5
S1,S71,3
S1,S73,3
S1,S75,3
S1,S77,11
S1,S79,3
S1,S80,4
S1,S81,3
S1,S82,4
S1,S83,5
S1,S84,5
S1,S85,3
S1,S86,3
S1,S87,3
S1,S88,3
S1,S89,4
S1,S91,3
S1,S94,8
S1,S95,4
S1,S97,3
S1,S98,4
S1,S101,3
S1,S103,3
S1,S106,6
S1,S107,3
S1,S108,6
S1,S111,8
S1,S113,3
S1,S118,7
S1,S119,3
S1,S121,9
S1,S122,6
S1,S123,4
S1,S126,6
S1,S129,3
S1,S130,3
S1,S131,5
S1,S133,6
S1,S134,7
S1,S135,10
S1,S136,4
S1,S137,3
S1,S138,3
S1,S139,4
S1,S140,5
S1,S141,3
S1,S142,4
S1,S143,3
S1,S145,3
S1,S146,3
S1,S147,5
S1,S148,8
S1,S149,3
S1,S151,3
S1,S152,4
S1,S153,3
S1,S154,5
S1,S155,3
S1,S156,3
S1,S158,3
S1,S160,7
S1,S165,3
S1,S166,6
S1,S167,3
S1,S169,3
S1,S170,4
S1,S171,2
S1,S172,3
S1,S174,2
S1,S178,6
S1,S184,10
S1,S186,3
S1,S187,11
S1,S188,13
S1,S189,3
S1,S190,6
S1,S194,16
S1,S195,3
S1,S198,3
S1,S199,3
S1,S201,5
S1,S202,5
S1,S203,7
S1,S204,3
S1,S206,3
S1,S208,5
S1,S210,3
S1,S212,3
S1,S214,6
S1,S216,5
S1,S218,3
S1,S220,3
S1,S221,3
S1,S222,3
S1,S223,3
S1,S224,3
S1,S225,4
S1,S226,3
S1,S227,3
S1,S228,3
S1,S230,4
S1,S231,5
S1,S232,3
S1,S233,3
