lab_miseq_sample,lab_miseq_id,lab_mesa_id,mesa_id_meta_data,person_meta_data,raw_reads,filtered_reads,merged_reads,total_tabled_haplotype_reads,no_chimeras_haplotype_reads,total_reads_all_noncontrol_haplotypes,number_of_haplotypes
S1_CSP_1.fastq.gz,BF1,9052_9,MPS9052,9,11326,8096,8043,8043,8043,8041,2
S2_CSP_1.fastq.gz,BF2,9325_1,MPS9325,1,8987,6324,6321,6321,6321,6315,1
S3_CSP_1.fastq.gz,BF3,9278_7,MPS9278,7,12499,7357,7356,7356,7356,7356,1
S4_CSP_1.fastq.gz,BF4,9251_4,MPS9251,4,7571,5399,5395,5395,4984,4984,2
S5_CSP_1.fastq.gz,BF5,9246_5,MPS9246,5,13289,8814,8814,8814,8814,8814,1
S6_CSP_1.fastq.gz,BF6,9246_6,MPS9246,6,14173,9939,9506,9506,7291,7248,8
S7_CSP_1.fastq.gz,BF7,9238_3,MPS9238,3,10480,6987,6848,6848,6291,6291,6
S8_CSP_1.fastq.gz,BF8,9251_1,MPS9251,1,9691,6774,6767,6767,212,212,1
S9_CSP_1.fastq.gz,BF9,9251_7,MPS9251,7,19,6,Removed,Removed,Removed,Removed,Removed
S10_CSP_1.fastq.gz,BF10,9294_5,MPS9294,5,7399,5328,5328,5328,5328,5328,1
S11_CSP_1.fastq.gz,BF11,9060_1,MPS9060,1,5,3,Removed,Removed,Removed,Removed,Removed
S12_CSP_1.fastq.gz,BF12,9312_5,MPS9312,5,18365,12102,12098,12098,12098,12098,2
S13_CSP_1.fastq.gz,BF13,330_2,MPS0330,2,18635,13926,13926,13926,13926,13926,1
S14_CSP_1.fastq.gz,BF14,339_3,MPS0339,3,8,4,Removed,Removed,Removed,Removed,Removed
S15_CSP_1.fastq.gz,BF15,9269_3,MPS9269,3,9560,7095,7095,7095,7095,7095,1
S16_CSP_1.fastq.gz,BF16,336_2,MPS0336,2,18948,13477,13477,13477,13477,13477,1
S17_CSP_1.fastq.gz,BF17,9250_5,MPS9250,5,13489,5945,5893,5893,5711,5711,3
S18_CSP_1.fastq.gz,BF18,9176_3,MPS9176,3,20810,14248,14151,14151,13599,13527,3
S19_CSP_1.fastq.gz,BF19,9136_7,MPS9136,7,3228,2285,2284,2284,2284,2284,1
S20_CSP_1.fastq.gz,BF20,9136_8,MPS9136,8,19593,13799,13799,13799,13799,13799,1
S21_CSP_1.fastq.gz,BF21,9404_7,MPS9404,7,15055,10812,10700,10700,10531,10494,5
S22_CSP_1.fastq.gz,BF22,330_4,MPS0330,4,6292,4241,4241,4241,4241,4241,1
