MiSeq ID,MESA ID,Sample,reads.in,reads.out,merged,tabled,nonchim
BF1,9052_9,S1_CSP_1.fastq.gz,11326,8096,8043,8043,8043
BF2,9325_1,S2_CSP_1.fastq.gz,8987,6324,6321,6321,6321
BF3,9278_7,S3_CSP_1.fastq.gz,12499,7357,7356,7356,7356
BF4,9251_4,S4_CSP_1.fastq.gz,7571,5399,5395,5395,4984
BF5,9246_5,S5_CSP_1.fastq.gz,13289,8814,8814,8814,8814
BF6,9246_6,S6_CSP_1.fastq.gz,14173,9939,9506,9506,7291
BF7,9238_3,S7_CSP_1.fastq.gz,10480,6987,6848,6848,6291
BF8,9251_1,S8_CSP_1.fastq.gz,9691,6774,6767,6767,212
BF9,9251_7,S9_CSP_1.fastq.gz,19,6,Removed,Removed,Removed
BF10,9294_5,S10_CSP_1.fastq.gz,7399,5328,5328,5328,5328
BF11,9060_1,S11_CSP_1.fastq.gz,5,3,Removed,Removed,Removed
BF12,9312_5,S12_CSP_1.fastq.gz,18365,12102,12098,12098,12098
BF13,330_2,S13_CSP_1.fastq.gz,18635,13926,13926,13926,13926
BF14,339_3,S14_CSP_1.fastq.gz,8,4,Removed,Removed,Removed
BF15,9269_3,S15_CSP_1.fastq.gz,9560,7095,7095,7095,7095
BF16,336_2,S16_CSP_1.fastq.gz,18948,13477,13477,13477,13477
BF17,9250_5,S17_CSP_1.fastq.gz,13489,5945,5893,5893,5711
BF18,9176_3,S18_CSP_1.fastq.gz,20810,14248,14151,14151,13599
BF19,9136_7,S19_CSP_1.fastq.gz,3228,2285,2284,2284,2284
BF20,9136_8,S20_CSP_1.fastq.gz,19593,13799,13799,13799,13799
BF21,9404_7,S21_CSP_1.fastq.gz,15055,10812,10700,10700,10531
BF22,330_4,S22_CSP_1.fastq.gz,6292,4241,4241,4241,4241
BF23,217_3,S23_CSP_1.fastq.gz,15827,10490,10413,10413,8803
BF24,328_4,S24_CSP_1.fastq.gz,14487,8912,8854,8854,8854
BF25,9320_6,S25_CSP_1.fastq.gz,28087,20525,20523,20523,20523
BF26,9300_5,S26_CSP_1.fastq.gz,27149,20181,20181,20181,20181
BF27,9138_2,S27_CSP_1.fastq.gz,19078,14017,13964,13964,13712
BF28,9407-5,S28_CSP_1.fastq.gz,23100,17419,17384,17384,17384
BF29,9174_1,S29_CSP_1.fastq.gz,15,7,Removed,Removed,Removed
BF30,9305_1,S30_CSP_1.fastq.gz,32149,22847,22842,22842,22842
BF31,9305_4,S31_CSP_1.fastq.gz,23641,16455,16234,16234,15072
BF32,9305_5,S32_CSP_1.fastq.gz,23308,16348,16348,16348,16348
BF33,9305_6,S33_CSP_1.fastq.gz,23536,17119,17116,17116,17116
BF34,206_4,S34_CSP_1.fastq.gz,6139,4572,4568,4568,4568
BF35,9186_6,S35_CSP_1.fastq.gz,16854,12465,12465,12465,12465
BF36,9172_5,S36_CSP_1.fastq.gz,18,12,Removed,Removed,Removed
BF37,175_6,S37_CSP_1.fastq.gz,3,2,Removed,Removed,Removed
BF38,9133_4,S38_CSP_1.fastq.gz,2,2,Removed,Removed,Removed
BF39,9303_4,S39_CSP_1.fastq.gz,4086,3005,2990,2990,2990
BF40,9144_7,S40_CSP_1.fastq.gz,6,3,Removed,Removed,Removed
BF41,9412_14,S41_CSP_1.fastq.gz,3,1,Removed,Removed,Removed
BF42,9133_5,S42_CSP_1.fastq.gz,19517,14355,14300,14300,14300
BF43,9146_11,S43_CSP_1.fastq.gz,1661,1162,1160,1160,1117
BF44,9423_6,S44_CSP_1.fastq.gz,7,4,Removed,Removed,Removed
BF45,9422_8,S45_CSP_1.fastq.gz,17795,13375,13375,13375,13375
BF46,9404_5,S46_CSP_1.fastq.gz,11318,8559,8502,8502,7621
BF47,9404_6,S47_CSP_1.fastq.gz,14856,10084,9949,9949,9075
BF48,9433_5,S48_CSP_1.fastq.gz,10,6,Removed,Removed,Removed
BF49,165_5,S49_CSP_1.fastq.gz,24505,18249,18016,18016,15958
BF50,429_7,S50_CSP_1.fastq.gz,26299,19314,19190,19190,18410
BF51,433_3,S51_CSP_1.fastq.gz,8067,6049,6049,6049,6049
BF52,351_3,S52_CSP_1.fastq.gz,10234,8032,8029,8029,8029
BF53,432_5,S53_CSP_1.fastq.gz,11865,8581,8520,8520,8108
BF54,432_8,S54_CSP_1.fastq.gz,16346,10083,9992,9992,9698
BF55,9320_2,S55_CSP_1.fastq.gz,12553,8891,8753,8753,8188
BF56,406_2,S56_CSP_1.fastq.gz,23224,16580,16537,16537,12615
