Sample,reads.in,reads.out,merged,tabled,nonchim
S1_CSP_1.fastq.gz,11326,8096,8043,8043,8043
S10_CSP_1.fastq.gz,7399,5328,5328,5328,5328
S100_CSP_1.fastq.gz,3044,1406,1406,1406,0
S101_CSP_1.fastq.gz,805,193,191,191,191
S102_CSP_1.fastq.gz,5,4,Removed,Removed,Removed
S103_CSP_1.fastq.gz,20447,14335,14333,14333,14333
S104_CSP_1.fastq.gz,9,5,Removed,Removed,Removed
S105_CSP_1.fastq.gz,4,3,Removed,Removed,Removed
S106_CSP_1.fastq.gz,14549,10188,9984,9984,8434
S107_CSP_1.fastq.gz,432,318,316,316,316
S108_CSP_1.fastq.gz,13363,9416,9222,9222,8918
S109_CSP_1.fastq.gz,3,1,Removed,Removed,Removed
S11_CSP_1.fastq.gz,5,3,Removed,Removed,Removed
S110_CSP_1.fastq.gz,12,6,Removed,Removed,Removed
S111_CSP_1.fastq.gz,16440,12341,12139,12139,10724
S112_CSP_1.fastq.gz,5,2,Removed,Removed,Removed
S113_CSP_1.fastq.gz,15052,10674,10638,10638,10638
S114_CSP_1.fastq.gz,41,27,Removed,Removed,Removed
S115_CSP_1.fastq.gz,40,27,Removed,Removed,Removed
S116_CSP_1.fastq.gz,21,15,Removed,Removed,Removed
S117_CSP_1.fastq.gz,41,26,Removed,Removed,Removed
S118_CSP_1.fastq.gz,9815,7041,6991,6991,6520
S119_CSP_1.fastq.gz,10589,7300,7294,7294,7294
S12_CSP_1.fastq.gz,18365,12102,12098,12098,12098
S120_CSP_1.fastq.gz,37,22,Removed,Removed,Removed
S121_CSP_1.fastq.gz,17709,12557,12216,12216,9589
S122_CSP_1.fastq.gz,13100,9642,9460,9460,6999
S123_CSP_1.fastq.gz,13281,9995,9986,9986,9986
S124_CSP_1.fastq.gz,33,25,Removed,Removed,Removed
S125_CSP_1.fastq.gz,11,6,Removed,Removed,Removed
S126_CSP_1.fastq.gz,21504,15382,15126,15126,14509
S127_CSP_1.fastq.gz,14,4,Removed,Removed,Removed
S128_CSP_1.fastq.gz,6,5,Removed,Removed,Removed
S129_CSP_1.fastq.gz,24265,18014,18014,18014,18014
S13_CSP_1.fastq.gz,18635,13926,13926,13926,13926
S130_CSP_1.fastq.gz,9608,6011,6011,6011,6011
S131_CSP_1.fastq.gz,21557,14508,14218,14218,11567
S132_CSP_1.fastq.gz,8,5,Removed,Removed,Removed
S133_CSP_1.fastq.gz,16405,11435,11336,11336,10511
S134_CSP_1.fastq.gz,23071,17303,16956,16956,14810
S135_CSP_1.fastq.gz,13041,9806,9620,9620,8170
S136_CSP_1.fastq.gz,9409,6952,6931,6931,6891
S137_CSP_1.fastq.gz,4068,2793,2793,2793,2793
S138_CSP_1.fastq.gz,26080,18445,18445,18445,18445
S139_CSP_1.fastq.gz,29260,21126,21096,21096,19632
S14_CSP_1.fastq.gz,8,4,Removed,Removed,Removed
S140_CSP_1.fastq.gz,12810,9114,9061,9061,8590
S141_CSP_1.fastq.gz,10484,7425,7425,7425,7425
S142_CSP_1.fastq.gz,20359,5945,5880,5880,5880
S143_CSP_1.fastq.gz,23518,5905,5904,5904,5904
S144_CSP_1.fastq.gz,5,3,Removed,Removed,Removed
