,reads.in,reads.out
S1_CSP_1.fastq.gz,11326,8096
S10_CSP_1.fastq.gz,7399,5328
S100_CSP_1.fastq.gz,3044,1406
S101_CSP_1.fastq.gz,805,193
S102_CSP_1.fastq.gz,5,4
S103_CSP_1.fastq.gz,20447,14335
S104_CSP_1.fastq.gz,9,5
S105_CSP_1.fastq.gz,4,3
S106_CSP_1.fastq.gz,14549,10188
S107_CSP_1.fastq.gz,432,318
S108_CSP_1.fastq.gz,13363,9416
S109_CSP_1.fastq.gz,3,1
S11_CSP_1.fastq.gz,5,3
S110_CSP_1.fastq.gz,12,6
S111_CSP_1.fastq.gz,16440,12341
S112_CSP_1.fastq.gz,5,2
S113_CSP_1.fastq.gz,15052,10674
S114_CSP_1.fastq.gz,41,27
S115_CSP_1.fastq.gz,40,27
S116_CSP_1.fastq.gz,21,15
S117_CSP_1.fastq.gz,41,26
S118_CSP_1.fastq.gz,9815,7041
S119_CSP_1.fastq.gz,10589,7300
S12_CSP_1.fastq.gz,18365,12102
S120_CSP_1.fastq.gz,37,22
S121_CSP_1.fastq.gz,17709,12557
S122_CSP_1.fastq.gz,13100,9642
S123_CSP_1.fastq.gz,13281,9995
S124_CSP_1.fastq.gz,33,25
S125_CSP_1.fastq.gz,11,6
S126_CSP_1.fastq.gz,21504,15382
S127_CSP_1.fastq.gz,14,4
S128_CSP_1.fastq.gz,6,5
S129_CSP_1.fastq.gz,24265,18014
S13_CSP_1.fastq.gz,18635,13926
S130_CSP_1.fastq.gz,9608,6011
S131_CSP_1.fastq.gz,21557,14508
S132_CSP_1.fastq.gz,8,5
S133_CSP_1.fastq.gz,16405,11435
S134_CSP_1.fastq.gz,23071,17303
S135_CSP_1.fastq.gz,13041,9806
S136_CSP_1.fastq.gz,9409,6952
S137_CSP_1.fastq.gz,4068,2793
S138_CSP_1.fastq.gz,26080,18445
S139_CSP_1.fastq.gz,29260,21126
S14_CSP_1.fastq.gz,8,4
S140_CSP_1.fastq.gz,12810,9114
S141_CSP_1.fastq.gz,10484,7425
S142_CSP_1.fastq.gz,20359,5945
S143_CSP_1.fastq.gz,23518,5905
S144_CSP_1.fastq.gz,5,3
S145_CSP_1.fastq.gz,15478,11042
S146_CSP_1.fastq.gz,31778,20959
S147_CSP_1.fastq.gz,16171,11712
S148_CSP_1.fastq.gz,17170,11418
S149_CSP_1.fastq.gz,25319,17169
S15_CSP_1.fastq.gz,9560,7095
S150_CSP_1.fastq.gz,6,3
S151_CSP_1.fastq.gz,8625,6342
S152_CSP_1.fastq.gz,17187,12659
S153_CSP_1.fastq.gz,13886,10644
S154_CSP_1.fastq.gz,10909,7690
S155_CSP_1.fastq.gz,6929,4901
S156_CSP_1.fastq.gz,6670,4573
S157_CSP_1.fastq.gz,9,4
S158_CSP_1.fastq.gz,21147,15978
S159_CSP_1.fastq.gz,9,8
S16_CSP_1.fastq.gz,18948,13477
S160_CSP_1.fastq.gz,17773,12551
S161_CSP_1.fastq.gz,10,2
S162_CSP_1.fastq.gz,1,0
S163_CSP_1.fastq.gz,18,8
S164_CSP_1.fastq.gz,4,2
S165_CSP_1.fastq.gz,13518,10374
S166_CSP_1.fastq.gz,13773,9930
S167_CSP_1.fastq.gz,19343,13986
S168_CSP_1.fastq.gz,6,2
S169_CSP_1.fastq.gz,8077,5591
S17_CSP_1.fastq.gz,13489,5945
S170_CSP_1.fastq.gz,45670,35059
S171_CSP_1.fastq.gz,4844,3686
S172_CSP_1.fastq.gz,23778,17139
S173_CSP_1.fastq.gz,15,7
S174_CSP_1.fastq.gz,7628,4737
S175_CSP_1.fastq.gz,6,3
S176_CSP_1.fastq.gz,0,0
S177_CSP_1.fastq.gz,3,3
S178_CSP_1.fastq.gz,10894,7579
S179_CSP_1.fastq.gz,0,0
S18_CSP_1.fastq.gz,20810,14248
S180_CSP_1.fastq.gz,2,0
S181_CSP_1.fastq.gz,3,1
S182_CSP_1.fastq.gz,3,2
S183_CSP_1.fastq.gz,3,1
S184_CSP_1.fastq.gz,10605,7464
S185_CSP_1.fastq.gz,5,3
S186_CSP_1.fastq.gz,9360,6569
S187_CSP_1.fastq.gz,21020,13125
S188_CSP_1.fastq.gz,14500,10374
S189_CSP_1.fastq.gz,5841,3774
S19_CSP_1.fastq.gz,3228,2285
S190_CSP_1.fastq.gz,13716,9190
S191_CSP_1.fastq.gz,2,0
S192_CSP_1.fastq.gz,2,1
S193_CSP_1.fastq.gz,3,2
S194_CSP_1.fastq.gz,11280,8432
S195_CSP_1.fastq.gz,3747,2380
S196_CSP_1.fastq.gz,5,3
S197_CSP_1.fastq.gz,1,0
S198_CSP_1.fastq.gz,19359,13482
S199_CSP_1.fastq.gz,6229,4390
S2_CSP_1.fastq.gz,8987,6324
