lab_miseq_sample,lab_miseq_id,lab_mesa_id,mesa_id_meta_data,person_meta_data,raw_reads,filtered_reads,merged_reads,total_tabled_haplotype_reads,no_chimeras_haplotype_reads,total_reads_all_noncontrol_haplotypes,number_of_haplotypes
S1_HistB_1.fastq.gz,BF1,9052_9,MPS9052,9,6429,4744,3571,3571,3571,3571,2
S2_HistB_1.fastq.gz,BF2,9325_1,MPS9325,1,12,6,Removed,Removed,Removed,Removed,Removed
S3_HistB_1.fastq.gz,BF3,9278_7,MPS9278,7,10492,5390,5223,5223,5223,5223,2
S4_HistB_1.fastq.gz,BF4,9251_4,MPS9251,4,6719,4386,4278,4278,4278,4278,2
S5_HistB_1.fastq.gz,BF5,9246_5,MPS9246,5,14060,9639,6559,6559,6559,6559,2
S6_HistB_1.fastq.gz,BF6,9246_6,MPS9246,6,15020,10822,7696,7696,7696,7636,4
S7_HistB_1.fastq.gz,BF7,9238_3,MPS9238,3,10365,6516,6296,6296,6034,6034,9
S8_HistB_1.fastq.gz,BF8,9251_1,MPS9251,1,10556,6774,6539,6539,6539,6539,2
S9_HistB_1.fastq.gz,BF9,9251_7,MPS9251,7,11,4,Removed,Removed,Removed,Removed,Removed
S10_HistB_1.fastq.gz,BF10,9294_5,MPS9294,5,9081,6703,5096,5096,5096,5096,2
S11_HistB_1.fastq.gz,BF11,9060_1,MPS9060,1,4,1,Removed,Removed,Removed,Removed,Removed
S12_HistB_1.fastq.gz,BF12,9312_5,MPS9312,5,20235,12244,11764,11764,11764,11764,3
S13_HistB_1.fastq.gz,BF13,330_2,MPS0330,2,22012,15030,14491,14491,14491,14491,2
S14_HistB_1.fastq.gz,BF14,339_3,MPS0339,3,12,6,Removed,Removed,Removed,Removed,Removed
S15_HistB_1.fastq.gz,BF15,9269_3,MPS9269,3,9807,7310,5755,5755,5755,5755,2
S16_HistB_1.fastq.gz,BF16,336_2,MPS0336,2,18460,12990,9778,9778,9778,9778,2
S17_HistB_1.fastq.gz,BF17,9250_5,MPS9250,5,13233,5465,5074,5074,5074,5030,5
S18_HistB_1.fastq.gz,BF18,9176_3,MPS9176,3,22471,14431,13897,13897,13897,13831,3
S19_HistB_1.fastq.gz,BF19,9136_7,MPS9136,7,5,4,Removed,Removed,Removed,Removed,Removed
S20_HistB_1.fastq.gz,BF20,9136_8,MPS9136,8,17561,11680,11264,11264,11264,11264,2
S21_HistB_1.fastq.gz,BF21,9404_7,MPS9404,7,16151,10616,10071,10071,10071,9960,2
