MiSeq ID,MESA ID,Sample,reads.in,reads.out,merged,tabled,nonchim
BF1,9052_9,S1_HistB_1.fastq.gz,6429,4744,3571,3571,3571
BF2,9325_1,S2_HistB_1.fastq.gz,12,6,Removed,Removed,Removed
BF3,9278_7,S3_HistB_1.fastq.gz,10492,5390,5223,5223,5223
BF4,9251_4,S4_HistB_1.fastq.gz,6719,4386,4278,4278,4278
BF5,9246_5,S5_HistB_1.fastq.gz,14060,9639,6559,6559,6559
BF6,9246_6,S6_HistB_1.fastq.gz,15020,10822,7696,7696,7696
BF7,9238_3,S7_HistB_1.fastq.gz,10365,6516,6296,6296,6034
BF8,9251_1,S8_HistB_1.fastq.gz,10556,6774,6539,6539,6539
BF9,9251_7,S9_HistB_1.fastq.gz,11,4,Removed,Removed,Removed
BF10,9294_5,S10_HistB_1.fastq.gz,9081,6703,5096,5096,5096
BF11,9060_1,S11_HistB_1.fastq.gz,4,1,Removed,Removed,Removed
BF12,9312_5,S12_HistB_1.fastq.gz,20235,12244,11764,11764,11764
BF13,330_2,S13_HistB_1.fastq.gz,22012,15030,14491,14491,14491
BF14,339_3,S14_HistB_1.fastq.gz,12,6,Removed,Removed,Removed
BF15,9269_3,S15_HistB_1.fastq.gz,9807,7310,5755,5755,5755
BF16,336_2,S16_HistB_1.fastq.gz,18460,12990,9778,9778,9778
BF17,9250_5,S17_HistB_1.fastq.gz,13233,5465,5074,5074,5074
BF18,9176_3,S18_HistB_1.fastq.gz,22471,14431,13897,13897,13897
BF19,9136_7,S19_HistB_1.fastq.gz,5,4,Removed,Removed,Removed
BF20,9136_8,S20_HistB_1.fastq.gz,17561,11680,11264,11264,11264
BF21,9404_7,S21_HistB_1.fastq.gz,16151,10616,10071,10071,10071
BF22,330_4,S22_HistB_1.fastq.gz,5,1,Removed,Removed,Removed
BF23,217_3,S23_HistB_1.fastq.gz,17448,9757,9396,9396,9396
BF24,328_4,S24_HistB_1.fastq.gz,15983,9894,7559,7559,7559
BF25,9320_6,S25_HistB_1.fastq.gz,29048,19905,19127,19127,18991
BF26,9300_5,S26_HistB_1.fastq.gz,21851,16611,12670,12670,12670
BF27,9138_2,S27_HistB_1.fastq.gz,17704,11767,11291,11291,11254
BF28,9407-5,S28_HistB_1.fastq.gz,23538,16038,15536,15536,15536
