Sample,reads.in,reads.out,merged,tabled,nonchim
S1_HistB_1.fastq.gz,6429,4744,3571,3571,3571
S10_HistB_1.fastq.gz,9081,6703,5096,5096,5096
S100_HistB_1.fastq.gz,585,218,160,160,160
S101_HistB_1.fastq.gz,9,1,Removed,Removed,Removed
S102_HistB_1.fastq.gz,2,1,Removed,Removed,Removed
S103_HistB_1.fastq.gz,23485,15411,14926,14926,14926
S104_HistB_1.fastq.gz,18122,11970,11609,11609,11609
S105_HistB_1.fastq.gz,6,2,Removed,Removed,Removed
S106_HistB_1.fastq.gz,19774,12676,12226,12226,12226
S107_HistB_1.fastq.gz,13376,8877,8618,8618,8618
S108_HistB_1.fastq.gz,17063,11132,10756,10756,10756
S109_HistB_1.fastq.gz,1311,985,976,976,976
S11_HistB_1.fastq.gz,4,1,Removed,Removed,Removed
S110_HistB_1.fastq.gz,13,7,Removed,Removed,Removed
S111_HistB_1.fastq.gz,21423,14557,14062,14062,14062
S112_HistB_1.fastq.gz,8,1,Removed,Removed,Removed
S113_HistB_1.fastq.gz,16942,11997,9024,9024,9024
S114_HistB_1.fastq.gz,40,30,Removed,Removed,Removed
S115_HistB_1.fastq.gz,24,17,Removed,Removed,Removed
S116_HistB_1.fastq.gz,33,23,Removed,Removed,Removed
S117_HistB_1.fastq.gz,40,32,Removed,Removed,Removed
S118_HistB_1.fastq.gz,9790,6269,6067,6067,5719
S119_HistB_1.fastq.gz,45,29,Removed,Removed,Removed
S12_HistB_1.fastq.gz,20235,12244,11764,11764,11764
S120_HistB_1.fastq.gz,54,34,Removed,Removed,Removed
S121_HistB_1.fastq.gz,20795,13523,12973,12973,11675
S122_HistB_1.fastq.gz,19110,12452,11881,11881,11881
S123_HistB_1.fastq.gz,12469,8529,8244,8244,8244
S124_HistB_1.fastq.gz,19,14,Removed,Removed,Removed
S125_HistB_1.fastq.gz,20,5,Removed,Removed,Removed
S126_HistB_1.fastq.gz,21987,16562,12315,12315,12315
S127_HistB_1.fastq.gz,7,2,Removed,Removed,Removed
S128_HistB_1.fastq.gz,11,4,Removed,Removed,Removed
S129_HistB_1.fastq.gz,30406,20703,20012,20012,20012
S13_HistB_1.fastq.gz,22012,15030,14491,14491,14491
S130_HistB_1.fastq.gz,11447,6578,6343,6343,6343
S131_HistB_1.fastq.gz,30875,19740,19042,19042,16897
S132_HistB_1.fastq.gz,7044,4539,4420,4420,4420
S133_HistB_1.fastq.gz,20127,13078,12576,12576,11657
S134_HistB_1.fastq.gz,22004,15941,12889,12889,12330
S135_HistB_1.fastq.gz,19307,13725,11938,11938,11938
S136_HistB_1.fastq.gz,27316,18274,17651,17651,17651
S137_HistB_1.fastq.gz,11795,7424,7202,7202,7202
S138_HistB_1.fastq.gz,29530,19225,18521,18521,14740
S139_HistB_1.fastq.gz,39613,26385,25479,25479,25479
S14_HistB_1.fastq.gz,12,6,Removed,Removed,Removed
S140_HistB_1.fastq.gz,19758,12541,12089,12089,12089
S141_HistB_1.fastq.gz,14849,9529,9230,9230,9230
S142_HistB_1.fastq.gz,17863,5100,4747,4747,4747
S143_HistB_1.fastq.gz,28957,7083,6778,6778,6778
S144_HistB_1.fastq.gz,3,2,Removed,Removed,Removed
S145_HistB_1.fastq.gz,17944,11507,11047,11047,11047
S146_HistB_1.fastq.gz,39433,24457,23467,23467,23467
S147_HistB_1.fastq.gz,24572,16068,15522,15522,15522
S148_HistB_1.fastq.gz,21059,12846,12414,12414,12411
S149_HistB_1.fastq.gz,32296,19361,18603,18603,18603
S15_HistB_1.fastq.gz,9807,7310,5755,5755,5755
S150_HistB_1.fastq.gz,3,0,Removed,Removed,Removed
S151_HistB_1.fastq.gz,19328,12752,12355,12355,12355
S152_HistB_1.fastq.gz,18567,12528,12097,12097,11396
S153_HistB_1.fastq.gz,22825,15801,15233,15233,15233
S154_HistB_1.fastq.gz,14815,10654,7420,7420,7420
S155_HistB_1.fastq.gz,20616,15086,9919,9919,9919
S156_HistB_1.fastq.gz,13201,9356,6820,6820,6820
S157_HistB_1.fastq.gz,5876,4307,3214,3214,3214
S158_HistB_1.fastq.gz,23374,15807,15289,15289,15289
S159_HistB_1.fastq.gz,5,3,Removed,Removed,Removed
S16_HistB_1.fastq.gz,18460,12990,9778,9778,9778
S160_HistB_1.fastq.gz,26701,17131,16497,16497,16012
S161_HistB_1.fastq.gz,14,5,Removed,Removed,Removed
S162_HistB_1.fastq.gz,5,1,Removed,Removed,Removed
S163_HistB_1.fastq.gz,12319,8400,8155,8155,8155
